id,nombre,centroide_lon,centroide_lat,categoria,fuente,municipio_id,departamento_id
50126060,TUPUNGATO,-69.1570213305004,-33.3715188696073,Localidad simple,INDEC,500126.0,50126.0
54007025,BARRIO RURAL,-55.7857809648064,-27.8839188226826,Localidad simple,INDEC,540007.0,54007.0
54007030,ESTACION APOSTOLES,-55.8079584118965,-27.9079594261468,Componente de localidad compuesta,INDEC,540007.0,54007.0
54007040,PINDAPOY,-55.7932485753782,-27.7474272299697,Localidad simple,INDEC,540021.0,54007.0
54007050,RINCON DE AZARA,-55.6318879848455,-28.108077909743,Localidad simple,INDEC,540014.0,54007.0
54007060,SAN JOSE,-55.7746920758949,-27.7653179990542,Localidad simple,INDEC,540021.0,54007.0
54014010,ARISTOBULO DEL VALLE,-54.8949054572105,-27.0952902000827,Localidad simple,INDEC,540035.0,54014.0
54014020,CAMPO GRANDE,-54.9790955036689,-27.2062681295066,Localidad simple,INDEC,540042.0,54014.0
54014050,DOS DE MAYO NUCLEO III (Bo BERNARDINO RIVADAVIA),-54.6123536244069,-27.0065768537216,Localidad simple,INDEC,540049.0,54014.0
54014055,KILOMETRO 17,-54.9030555649231,-27.3105260940584,Localidad simple,INDEC,540042.0,54014.0
54021010,BONPLAND,-55.4774200837194,-27.4820696887808,Localidad simple,INDEC,540056.0,54021.0
54021040,LORETO,-55.5228090005038,-27.3296012279697,Localidad simple,INDEC,540077.0,54021.0
54021060,PROFUNDIDAD,-55.7034474067364,-27.5585198137316,Localidad simple,INDEC,540091.0,54021.0
54021070,PUERTO SANTA ANA,-55.5864347793367,-27.3330798818829,Localidad simple,INDEC,540098.0,54021.0
54028010,GARUPA,-55.8224411787639,-27.4788128514289,Componente de localidad compuesta,INDEC,540112.0,54028.0
54028030,POSADAS,-55.8940020980262,-27.36621704276,Componente de localidad compuesta,INDEC,540119.0,54028.0
54035010,BARRA CONCEPCION,-55.5820048143948,-28.1109522025733,Localidad simple,INDEC,540126.0,54035.0
54035020,CONCEPCION DE LA SIERRA,-55.5209343056682,-27.9813155596218,Localidad simple,INDEC,540126.0,54035.0
54035030,LA CORITA,-55.3552996952999,-27.8884115577679,Localidad simple,INDEC,540133.0,54035.0
54035040,SANTA MARIA,-55.4120566457096,-27.9292852570213,Localidad simple,INDEC,540133.0,54035.0
54042010,COLONIA VICTORIA,-54.6215572258235,-26.3298887730818,Localidad simple,INDEC,540147.0,54042.0
54042030,MARIA MAGDALENA,-54.6018096123882,-26.2380924409231,Localidad simple,INDEC,540140.0,54042.0
54042050,9 DE JULIO KILOMETRO 20,-54.4976116231155,-26.4145333109522,Localidad simple,INDEC,540161.0,54042.0
54042060,PUERTO MADO,-54.6247146607981,-26.2310899121585,Localidad simple,INDEC,540140.0,54042.0
54042070,PUERTO PINARES,-54.6857660084128,-26.4268174271826,Localidad simple,INDEC,540154.0,54042.0
54042080,SANTIAGO DE LINIERS,-54.3947099277232,-26.3905866143255,Localidad simple,INDEC,540168.0,54042.0
54042090,VALLE HERMOSO,-54.4652848386631,-26.382535288747,Localidad simple,INDEC,540161.0,54042.0
54049010,COMANDANTE ANDRESITO,-54.0456434709471,-25.6674361424553,Localidad simple,INDEC,540182.0,54049.0
54049020,BERNARDO DE IRIGOYEN,-53.6472133435976,-26.2546761021203,Localidad simple,INDEC,540175.0,54049.0
54049050,SAN ANTONIO,-53.7339959536295,-26.0557838105078,Localidad simple,INDEC,540189.0,54049.0
54063010,PUERTO ESPERANZA,-54.6125092333468,-26.0232970897792,Localidad simple,INDEC,540210.0,54063.0
54063020,PUERTO LIBERTAD,-54.5821209872029,-25.9216713372731,Localidad simple,INDEC,540224.0,54063.0
54063030,PUERTO IGUAZU,-54.576736880982,-25.6010431152667,Localidad simple,INDEC,540217.0,54063.0
54063035,VILLA COOPERATIVA,-54.5384663539082,-25.9359867013889,Localidad simple,INDEC,540224.0,54063.0
54070030,CAA - YARI,-55.2992348104351,-27.4807844367608,Localidad simple,INDEC,540252.0,54070.0
54070040,CERRO AZUL,-55.4938681670811,-27.6310347455951,Localidad simple,INDEC,540259.0,54070.0
54070050,DOS ARROYOS,-55.2587801693628,-27.6941714233049,Localidad simple,INDEC,540266.0,54070.0
54070090,VILLA LIBERTAD,-55.3160862221368,-27.5583422242544,Componente de localidad compuesta,INDEC,540252.0,54070.0
54077015,CAPIOVICINO,-55.0705133852003,-26.8795016704132,Localidad simple,INDEC,540322.0,54077.0
54077040,MBOPICUA,-55.0463438652711,-26.8615012222942,Localidad simple,INDEC,540322.0,54077.0
54077050,PUERTO LEONI,-55.1694842635982,-26.9840910613646,Localidad simple,INDEC,540315.0,54077.0
54077080,SAN ALBERTO,-54.9881508224082,-26.8048950436231,Localidad simple,INDEC,540322.0,54077.0
