,operador_id,producto
2393,1120,MAIZ
2394,1120,NUEZ
2395,1120,ACEITE DE SOJA
2396,1120,ACEITUNAS
2397,1120,CHIA (SALVIA HISPANICA L.)
2398,1120,CIRUELA
2399,1120,ACEITE DE GIRASOL
2400,1120,ACEITE DE OLIVA
2401,1120,LINO
2402,1120,PASAS DE UVA
2403,1121,TRIGO
2404,1121,SOJA
2405,1121,MAIZ
2406,1121,MAIZ PISINGALLO
2407,1121,SORGO
2408,1121,CANOLA
2409,1121,GIRASOL
2410,1121,ALCOHOL
2411,1122,AJO
2412,1122,CEBOLLA
2413,1122,ZAPALLO
2414,1123,CARNE VACUNA
2415,1124,ARROZ
2416,1124, LINO
2417,1124,ACEITE DE OLIVA
2418,1124,HARINA DE MAIZ
2419,1124,MAIZ
2420,1124,MIJO
2421,1124,TRIGO
2422,1124,CENTENO
2423,1124,CIRUELA DESHIDRATADA CON CAROZO
2424,1124,MANZANA DESHIDRATADA
2425,1125,CIRUELA
2426,1125,MANZANA
2427,1125,PERA
2428,1125,ARANDANO
2429,1126,PERA
2430,1126,MANZANA
2431,1127,LANA SUCIA
2432,1128,CEREALES
2433,1128,OLEAGINOSAS
2434,1128,OTROS PRODUCTOS ORGANICOS.
2435,1129,EXPELLER DE GIRASOL
2436,1129,GIRASOL
2437,1129,ACEITE DE GIRASOL
2438,1129,ACEITE DE CANOLA
2439,1130,CIRUELA DESHIDRATADA
2440,1131,TRIGO
2441,1132,ARANDANO
2442,1132,ARANDANO CONGELADO
2443,1139,PRODUCTOS ORGANICOS DE ORIGEN ANIMAL
2444,1139,VEGETAL.
2445,1140,CEREALES
2446,1140,OLEAGINOSAS
2447,1141,CEREALES
2448,1141,OLEAGINOSAS
2449,1141,OTROS PRODUCTOS ORGANICOS.
2450,1142,ACEITE DE OLIVA
2451,1143,COMERCIALIZACION DE CEREALES
2452,1143,OLEAGINOSAS
2453,1144,MIEL
2454,1144,SUBPRODUCTOS DE LA COLMENA.
