razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
ELABORADORES DE FRUTA S.A.,ELABORADORES DE FRUTA S.A. 1,82105090,10,1,2,FRIGORIFICOS PARA  FRUTAS
LOPEZ LUCAS,CHACRA IPOTI,82126050,1,3,1,AGRICULTURA
COOPSOL COOP. DE TRABAJO LTDA.,COOPSOL LORETO - PRODUCTOR,86049110,1,4,1,APICULTURA
GOMEZ BRAVO OSCAR A. Y COOPSOL LTDA.,APIARIO AB,86049110,1,4,1,APICULTURA
JOSE ALBERTO ROTULO Y COOPSOL LTDA.,APIARIO AR,86049110,1,4,1,APICULTURA
PEREZ WALTER E. Y COOPSOL LTDA.,APIARIO AN,86049110,1,4,1,APICULTURA
COOPSOL LTDA.,COOPSOL LTDA. 1,86049110,10,4,2,FRACCIONAMIENTO DE MIEL
COOPSOL LTDA.,COOPSOL LTDA. 2,86049110,45,4,3,
JULIO ANSELMO TORRES Y COOPSOL LTDA,APIARIO CK,86049110,1,4,1,APICULTURA
TORRES CLAUDIO F. Y COOPSOL LTDA.,APIARIO BN,86049110,1,4,1,APICULTURA
GEBAL S.A.,EL NOGAL,86070070,1,3,1,FRUTICULTURA
AGRO PROFESIONAL SA,SOL DE JULIO,86140020,1,4,1,AGRICULTURA
MUNICIPALIDAD DE LAS TERMAS DE RIO HONDO,UNIDAD DEMOSTRATIVA DE HORTALIZAS ORGANICAS DE LAS TERMAS DE RIO HONDO,86147130,1,4,1,HORTICULTURA
CITROMAX SACI,LAS LANZAS,90021050,1,2,1,FRUTICULTURA/HORTICULTURA
KINGBERRY S.A.,FINCA COCHAMOLLES,90021050,1,2,1,FRUTICULTURA/HORTICULTURA
AMANKAY S.R.L.,FINCA LAURELES,90028030,1,2,1,FRUTICULTURA/HORTICULTURA
ECOBERRIES S.A.,FINCA CLAUDIA,90028030,1,2,1,FRUTICULTURA/HORTICULTURA
GREEN PACK S.A.,GREEN PACK S.A. 1,90028030,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
GREEN PACK S.A.,FINCA GREEN PACK,90028030,1,2,1,FRUTICULTURA/HORTICULTURA
TERMINAL DE CARGAS AEREAS SA,TACO RALO,90035010,1,1,1,AGRICULTURA
INVERSIONES MARAPA SRL,FINCA LOS BICHITOS,90042010,1,2,1,FRUTICULTURA/HORTICULTURA
INVERSIONES MARAPA SRL,INVERSIONES MARAPA SRL 1,90042010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
GARCIA DANIEL SEBASTIAN  ,ORGANICOS DEL SUR,90042010,1,2,1,AGRICULTURA
SIGSTAD JUAN,FINCA LOS PIZARROS Y FINCA SAN IGNACIO,90049010,1,2,1,FRUTICULTURA/HORTICULTURA
JUAN SIGSTAD S.R.L.,JUAN SIGSTAD S.R.L. 1,90049010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
MULTIFRUT S.R.L.,MULTIFRUT S.R.L. 1,90063050,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
MULTIFRUT S.R.L.,FINCA ZAPULLA,90063050,1,2,1,AGRICULTURA
